scenario,r,rr,value_min,Region_1_Coord,Region_2_Coord
Dif. to ref.: avg_avail,R_DE,R_NO,0,Point (10.39366155475279996 51.10659218573432838),Point (6.098200857719917 60.76723986169972)
Dif. to ref.: avg_avail,R_DE,R_PL,-0.010936,Point (10.39366155475279996 51.10659218573432838),Point (19.40088385467417353 52.1246100865655464)
Dif. to ref.: avg_avail,R_DE,R_SE,0,Point (10.39366155475279996 51.10659218573432838),Point (16.73975403305356124 62.78989678415778997)
Dif. to ref.: avg_avail,R_DE,R_UK,0,Point (10.39366155475279996 51.10659218573432838),Point (-2.89558470050635464 54.15534972029963967)
Dif. to ref.: avg_avail,R_DK,R_DE,0,Point (10.0462984146926555 55.96339824225690762),Point (10.39366155475279996 51.10659218573432838)
Dif. to ref.: avg_avail,R_DK,R_NL,0,Point (10.0462984146926555 55.96339824225690762),Point (5.60341802694661251 52.2492632896254392)
Dif. to ref.: avg_avail,R_DK,R_NO,0,Point (10.0462984146926555 55.96339824225690762),Point (6.098200857719917 60.76723986169972)
Dif. to ref.: avg_avail,R_DK,R_PL,0,Point (10.0462984146926555 55.96339824225690762),Point (19.40088385467417353 52.1246100865655464)
Dif. to ref.: avg_avail,R_DK,R_SE,0,Point (10.0462984146926555 55.96339824225690762),Point (16.73975403305356124 62.78989678415778997)
Dif. to ref.: avg_avail,R_DK,R_UK,0,Point (10.0462984146926555 55.96339824225690762),Point (-2.89558470050635464 54.15534972029963967)
Dif. to ref.: avg_avail,R_EE,R_FI,0,Point (25.52761631201438064 58.67413590786344457),Point (26.26637086488721096 64.50042200031850825)
Dif. to ref.: avg_avail,R_GR,R_AL,0,Point (22.95974634066739384 39.06853720123029206),Point (20.06838460591877649 41.14228482341689386)
Dif. to ref.: avg_avail,R_GR,R_BG,0,Point (22.95974634066739384 39.06853720123029206),Point (25.23150624402950726 42.76137671439207821)
Dif. to ref.: avg_avail,R_GR,R_IT,-0.007166,Point (22.95974634066739384 39.06853720123029206),Point (12.07174297035683175 42.79578239851078791)
Dif. to ref.: avg_avail,R_GR,R_MK,0,Point (22.95974634066739384 39.06853720123029206),Point (21.69747626732899093 41.5996823122770536)
Dif. to ref.: avg_avail,R_ES,R_FR,-0.01199,Point (-3.64956496042895662 40.22682992875569852),Point (2.55195521677779524 46.56450205398793685)
Dif. to ref.: avg_avail,R_ES,R_PT,0.00E+00,Point (-3.64956496042895662 40.22682992875569852),Point (-7.96218719075277637 39.69190982231604892)
Dif. to ref.: avg_avail,R_FI,R_EE,0.00E+00,Point (26.26637086488721096 64.50042200031850825),Point (25.52761631201438064 58.67413590786344457)
Dif. to ref.: avg_avail,R_FI,R_NO,-0.125067,Point (26.26637086488721096 64.50042200031850825),Point (6.098200857719917 60.76723986169972)
Dif. to ref.: avg_avail,R_FI,R_SE,-0.0233081,Point (26.26637086488721096 64.50042200031850825),Point (16.73975403305356124 62.78989678415778997)
Dif. to ref.: avg_avail,R_FR,R_BE,-0.176,Point (2.55195521677779524 46.56450205398793685),Point (4.66398918713680199 50.64285116363035399)
Dif. to ref.: avg_avail,R_FR,R_CH,-0.05655,Point (2.55195521677779524 46.56450205398793685),Point (8.234429172288662 46.80256937605332013)
Dif. to ref.: avg_avail,R_FR,R_DE,-0.11324,Point (2.55195521677779524 46.56450205398793685),Point (10.39366155475279996 51.10659218573432838)
Dif. to ref.: avg_avail,R_FR,R_ES,0,Point (2.55195521677779524 46.56450205398793685),Point (-3.64956496042895662 40.22682992875569852)
Dif. to ref.: avg_avail,R_FR,R_IE,0,Point (2.55195521677779524 46.56450205398793685),Point (-8.15057896021401795 53.17638162826426651)
Dif. to ref.: avg_avail,R_FR,R_IT,-0.12959,Point (2.55195521677779524 46.56450205398793685),Point (12.07174297035683175 42.79578239851078791)
Dif. to ref.: avg_avail,R_FR,R_LU,-0.11029,Point (2.55195521677779524 46.56450205398793685),Point (6.0878139690320392 49.77062957536391963)
Dif. to ref.: avg_avail,R_FR,R_UK,-0.00217,Point (2.55195521677779524 46.56450205398793685),Point (-2.89558470050635464 54.15534972029963967)
Dif. to ref.: avg_avail,R_HR,R_BA,0.00E+00,Point (16.41177821249747026 45.05116186966237279),Point (17.78653069680730781 44.1681152245203279)
Dif. to ref.: avg_avail,R_HR,R_HU,0,Point (16.41177821249747026 45.05116186966237279),Point (19.41344796118307769 47.16650222537332127)
Dif. to ref.: avg_avail,R_HR,R_RS,-1.33E-07,Point (16.41177821249747026 45.05116186966237279),Point (20.80527172323537499 44.03149841861639402)
Dif. to ref.: avg_avail,R_HR,R_SI,0,Point (16.41177821249747026 45.05116186966237279),Point (14.82653748920358083 46.12356376353400123)
Dif. to ref.: avg_avail,R_HU,R_AT,-0.005652,Point (19.41344796118307769 47.16650222537332127),Point (14.14019348879524962 47.59290260691519592)
Dif. to ref.: avg_avail,R_HU,R_HR,0,Point (19.41344796118307769 47.16650222537332127),Point (16.41177821249747026 45.05116186966237279)
Dif. to ref.: avg_avail,R_HU,R_RO,0,Point (19.41344796118307769 47.16650222537332127),Point (24.96925875927502858 45.84361473342863746)
Dif. to ref.: avg_avail,R_HU,R_RS,-0.011166,Point (19.41344796118307769 47.16650222537332127),Point (20.80527172323537499 44.03149841861639402)
Dif. to ref.: avg_avail,R_HU,R_SI,-0.00891,Point (19.41344796118307769 47.16650222537332127),Point (14.82653748920358083 46.12356376353400123)
Dif. to ref.: avg_avail,R_HU,R_SK,-0.05967,Point (19.41344796118307769 47.16650222537332127),Point (19.49165388227613604 48.70753128946242327)
Dif. to ref.: avg_avail,R_IE,R_FR,-0.01262,Point (-8.15057896021401795 53.17638162826426651),Point (2.55195521677779524 46.56450205398793685)
Dif. to ref.: avg_avail,R_IE,R_UK,0,Point (-8.15057896021401795 53.17638162826426651),Point (-2.89558470050635464 54.15534972029963967)
Dif. to ref.: avg_avail,R_IT,R_AT,-0.00791,Point (12.07174297035683175 42.79578239851078791),Point (14.14019348879524962 47.59290260691519592)
Dif. to ref.: avg_avail,R_IT,R_CH,0,Point (12.07174297035683175 42.79578239851078791),Point (8.234429172288662 46.80256937605332013)
Dif. to ref.: avg_avail,R_IT,R_GR,0,Point (12.07174297035683175 42.79578239851078791),Point (22.95974634066739384 39.06853720123029206)
Dif. to ref.: avg_avail,R_IT,R_FR,0,Point (12.07174297035683175 42.79578239851078791),Point (2.55195521677779524 46.56450205398793685)
Dif. to ref.: avg_avail,R_IT,R_ME,-0.003719,Point (12.07174297035683175 42.79578239851078791),Point (19.25030495955028798 42.79159324834609635)
Dif. to ref.: avg_avail,R_IT,R_SI,-0.012191,Point (12.07174297035683175 42.79578239851078791),Point (14.82653748920358083 46.12356376353400123)
Dif. to ref.: avg_avail,R_LT,R_LV,-0.02754052,Point (23.89812325011706307 55.33567048559037005),Point (24.92942396864251009 56.85753443708565413)
Dif. to ref.: avg_avail,R_LT,R_PL,0,Point (23.89812325011706307 55.33567048559037005),Point (19.40088385467417353 52.1246100865655464)
Dif. to ref.: avg_avail,R_LT,R_SE,0,Point (23.89812325011706307 55.33567048559037005),Point (16.73975403305356124 62.78989678415778997)
Dif. to ref.: avg_avail,R_LU,R_BE,-0.016318,Point (6.0878139690320392 49.77062957536391963),Point (4.66398918713680199 50.64285116363035399)
Dif. to ref.: avg_avail,R_LU,R_FR,0,Point (6.0878139690320392 49.77062957536391963),Point (2.55195521677779524 46.56450205398793685)
Dif. to ref.: avg_avail,R_LV,R_EE,0,Point (24.92942396864251009 56.85753443708565413),Point (25.52761631201438064 58.67413590786344457)
Dif. to ref.: avg_avail,R_LV,R_SE,0,Point (24.92942396864251009 56.85753443708565413),Point (16.73975403305356124 62.78989678415778997)
Dif. to ref.: avg_avail,R_ME,R_AL,0,Point (19.25030495955028798 42.79159324834609635),Point (20.06838460591877649 41.14228482341689386)
Dif. to ref.: avg_avail,R_ME,R_BA,-0.0012647,Point (19.25030495955028798 42.79159324834609635),Point (17.78653069680730781 44.1681152245203279)
Dif. to ref.: avg_avail,R_ME,R_IT,-0.138442,Point (19.25030495955028798 42.79159324834609635),Point (12.07174297035683175 42.79578239851078791)
Dif. to ref.: avg_avail,R_ME,R_RS,0,Point (19.25030495955028798 42.79159324834609635),Point (20.80527172323537499 44.03149841861639402)
Dif. to ref.: avg_avail,R_MK,R_AL,0,Point (21.69747626732899093 41.5996823122770536),Point (20.06838460591877649 41.14228482341689386)
Dif. to ref.: avg_avail,R_MK,R_BG,-0.0011064,Point (21.69747626732899093 41.5996823122770536),Point (25.23150624402950726 42.76137671439207821)
Dif. to ref.: avg_avail,R_MK,R_RS,0,Point (21.69747626732899093 41.5996823122770536),Point (20.80527172323537499 44.03149841861639402)
Dif. to ref.: avg_avail,R_NL,R_BE,-0.074746,Point (5.60341802694661251 52.2492632896254392),Point (4.66398918713680199 50.64285116363035399)
Dif. to ref.: avg_avail,R_NL,R_DE,-0.058151,Point (5.60341802694661251 52.2492632896254392),Point (10.39366155475279996 51.10659218573432838)
Dif. to ref.: avg_avail,R_NL,R_DK,0,Point (5.60341802694661251 52.2492632896254392),Point (10.0462984146926555 55.96339824225690762)
Dif. to ref.: avg_avail,R_NL,R_NO,0,Point (5.60341802694661251 52.2492632896254392),Point (6.098200857719917 60.76723986169972)
Dif. to ref.: avg_avail,R_NL,R_UK,0,Point (5.60341802694661251 52.2492632896254392),Point (-2.89558470050635464 54.15534972029963967)
Dif. to ref.: avg_avail,R_NO,R_DE,0,Point (6.098200857719917 60.76723986169972),Point (10.39366155475279996 51.10659218573432838)
Dif. to ref.: avg_avail,R_NO,R_DK,0,Point (6.098200857719917 60.76723986169972),Point (10.0462984146926555 55.96339824225690762)
Dif. to ref.: avg_avail,R_NO,R_FI,-0.008463,Point (6.098200857719917 60.76723986169972),Point (26.26637086488721096 64.50042200031850825)
Dif. to ref.: avg_avail,R_NO,R_NL,0,Point (6.098200857719917 60.76723986169972),Point (5.60341802694661251 52.2492632896254392)
Dif. to ref.: avg_avail,R_NO,R_SE,0,Point (6.098200857719917 60.76723986169972),Point (16.73975403305356124 62.78989678415778997)
Dif. to ref.: avg_avail,R_NO,R_UK,0,Point (6.098200857719917 60.76723986169972),Point (-2.89558470050635464 54.15534972029963967)
Dif. to ref.: avg_avail,R_PL,R_CZ,-0.0164827,Point (19.40088385467417353 52.1246100865655464),Point (15.3384120900681058 49.74285888947336787)
Dif. to ref.: avg_avail,R_PL,R_DE,-0.141768,Point (19.40088385467417353 52.1246100865655464),Point (10.39366155475279996 51.10659218573432838)
Dif. to ref.: avg_avail,R_PL,R_DK,-0.098118,Point (19.40088385467417353 52.1246100865655464),Point (10.0462984146926555 55.96339824225690762)
Dif. to ref.: avg_avail,R_PL,R_LT,-0.07805,Point (19.40088385467417353 52.1246100865655464),Point (23.89812325011706307 55.33567048559037005)
Dif. to ref.: avg_avail,R_PL,R_SE,-0.0634,Point (19.40088385467417353 52.1246100865655464),Point (16.73975403305356124 62.78989678415778997)
Dif. to ref.: avg_avail,R_PL,R_SK,-0.028419,Point (19.40088385467417353 52.1246100865655464),Point (19.49165388227613604 48.70753128946242327)
Dif. to ref.: avg_avail,R_PT,R_ES,0,Point (-7.96218719075277637 39.69190982231604892),Point (-3.64956496042895662 40.22682992875569852)
Dif. to ref.: avg_avail,R_RO,R_BG,0,Point (24.96925875927502858 45.84361473342863746),Point (25.23150624402950726 42.76137671439207821)
Dif. to ref.: avg_avail,R_RO,R_HU,-4.16E-10,Point (24.96925875927502858 45.84361473342863746),Point (19.41344796118307769 47.16650222537332127)
Dif. to ref.: avg_avail,R_RO,R_RS,-0.0042398,Point (24.96925875927502858 45.84361473342863746),Point (20.80527172323537499 44.03149841861639402)
Dif. to ref.: avg_avail,R_RS,R_AL,0.00E+00,Point (20.80527172323537499 44.03149841861639402),Point (20.06838460591877649 41.14228482341689386)
Dif. to ref.: avg_avail,R_RS,R_BA,0,Point (20.80527172323537499 44.03149841861639402),Point (17.78653069680730781 44.1681152245203279)
Dif. to ref.: avg_avail,R_RS,R_BG,0,Point (20.80527172323537499 44.03149841861639402),Point (25.23150624402950726 42.76137671439207821)
Dif. to ref.: avg_avail,R_RS,R_HR,-4.20E-11,Point (20.80527172323537499 44.03149841861639402),Point (16.41177821249747026 45.05116186966237279)
Dif. to ref.: avg_avail,R_RS,R_HU,0,Point (20.80527172323537499 44.03149841861639402),Point (19.41344796118307769 47.16650222537332127)
Dif. to ref.: avg_avail,R_RS,R_ME,0,Point (20.80527172323537499 44.03149841861639402),Point (19.25030495955028798 42.79159324834609635)
Dif. to ref.: avg_avail,R_RS,R_MK,0,Point (20.80527172323537499 44.03149841861639402),Point (21.69747626732899093 41.5996823122770536)
Dif. to ref.: avg_avail,R_SE,R_DE,0,Point (16.73975403305356124 62.78989678415778997),Point (10.39366155475279996 51.10659218573432838)
Dif. to ref.: avg_avail,R_SE,R_DK,-0.02577,Point (16.73975403305356124 62.78989678415778997),Point (10.0462984146926555 55.96339824225690762)
Dif. to ref.: avg_avail,R_SE,R_FI,-0.0314185,Point (16.73975403305356124 62.78989678415778997),Point (26.26637086488721096 64.50042200031850825)
Dif. to ref.: avg_avail,R_SE,R_LT,-0.00085871,Point (16.73975403305356124 62.78989678415778997),Point (23.89812325011706307 55.33567048559037005)
Dif. to ref.: avg_avail,R_SE,R_LV,-0.0196742,Point (16.73975403305356124 62.78989678415778997),Point (24.92942396864251009 56.85753443708565413)
Dif. to ref.: avg_avail,R_SE,R_NO,-0.093313,Point (16.73975403305356124 62.78989678415778997),Point (6.098200857719917 60.76723986169972)
Dif. to ref.: avg_avail,R_SE,R_PL,0,Point (16.73975403305356124 62.78989678415778997),Point (19.40088385467417353 52.1246100865655464)
Dif. to ref.: avg_avail,R_SI,R_AT,-0.003666,Point (14.82653748920358083 46.12356376353400123),Point (14.14019348879524962 47.59290260691519592)
Dif. to ref.: avg_avail,R_SI,R_HR,0,Point (14.82653748920358083 46.12356376353400123),Point (16.41177821249747026 45.05116186966237279)
Dif. to ref.: avg_avail,R_SI,R_HU,0,Point (14.82653748920358083 46.12356376353400123),Point (19.41344796118307769 47.16650222537332127)
Dif. to ref.: avg_avail,R_SI,R_IT,-0.106134,Point (14.82653748920358083 46.12356376353400123),Point (12.07174297035683175 42.79578239851078791)
Dif. to ref.: avg_avail,R_SK,R_AT,0,Point (19.49165388227613604 48.70753128946242327),Point (14.14019348879524962 47.59290260691519592)
Dif. to ref.: avg_avail,R_SK,R_CZ,-3.10E-07,Point (19.49165388227613604 48.70753128946242327),Point (15.3384120900681058 49.74285888947336787)
Dif. to ref.: avg_avail,R_SK,R_HU,-0.05992,Point (19.49165388227613604 48.70753128946242327),Point (19.41344796118307769 47.16650222537332127)
Dif. to ref.: avg_avail,R_SK,R_PL,0,Point (19.49165388227613604 48.70753128946242327),Point (19.40088385467417353 52.1246100865655464)
Dif. to ref.: avg_avail,R_UK,R_BE,-0.10232,Point (-2.89558470050635464 54.15534972029963967),Point (4.66398918713680199 50.64285116363035399)
Dif. to ref.: avg_avail,R_UK,R_DE,-0.08862,Point (-2.89558470050635464 54.15534972029963967),Point (10.39366155475279996 51.10659218573432838)
Dif. to ref.: avg_avail,R_UK,R_DK,-0.07906,Point (-2.89558470050635464 54.15534972029963967),Point (10.0462984146926555 55.96339824225690762)
Dif. to ref.: avg_avail,R_UK,R_FR,-0.01355,Point (-2.89558470050635464 54.15534972029963967),Point (2.55195521677779524 46.56450205398793685)
Dif. to ref.: avg_avail,R_UK,R_IE,-0.0166,Point (-2.89558470050635464 54.15534972029963967),Point (-8.15057896021401795 53.17638162826426651)
Dif. to ref.: avg_avail,R_UK,R_NL,-0.0385,Point (-2.89558470050635464 54.15534972029963967),Point (5.60341802694661251 52.2492632896254392)
Dif. to ref.: avg_avail,R_UK,R_NO,-0.09477,Point (-2.89558470050635464 54.15534972029963967),Point (6.098200857719917 60.76723986169972)
